평균 상대습도(%),일시,실효습도
50.6,20190422,52.628082000000006
52.0,20190423,48.688335
70.4,20190424,52.30262700000001
75.9,20190425,56.008674
82.1,20190426,59.913318000000004
52.6,20190427,55.168020000000006
48.8,20190428,50.63572200000001
52.9,20190429,47.76536700000001
52.8,20190430,45.448803000000005
48.9,20190501,42.34459799999999
28.5,20190502,35.539074
37.5,20190503,33.666807000000006
40.4,20190504,33.01949400000001
35.8,20190505,31.191417
27.1,20190506,27.498404999999998
33.4,20190507,27.831885
48.3,20190508,32.081532
43.3,20190509,33.410064
48.0,20190510,35.981973
39.0,20190511,35.520972
36.0,20190512,33.980619000000004
43.4,20190513,34.371099
44.5,20190514,35.22654
48.1,20190515,36.66837
43.8,20190516,36.84144
44.9,20190517,37.44385200000001
46.8,20190518,38.062425
93.0,20190519,52.29996300000001
63.6,20190520,53.264724
52.0,20190521,50.676866999999994
46.0,20190522,47.009904000000006
45.0,20190523,44.04722999999999
46.4,20190524,40.063908
45.6,20190525,38.51796
39.0,20190526,36.04068000000001
80.9,20190527,47.17911000000001
45.9,20190528,44.52643200000001
48.4,20190529,43.348968000000006
48.0,20190530,42.445080000000004
49.6,20190531,42.625137
60.5,20190601,43.908537
42.1,20190602,41.051652
42.9,20190603,39.16578
56.4,20190604,41.91583800000001
63.8,20190605,45.980205000000005
75.9,20190606,51.905673
77.3,20190607,57.40124700000001
57.5,20190608,55.267812000000006
66.1,20190609,55.673724
70.3,20190610,56.84474700000001
51.1,20190611,51.29436900000001
57.1,20190612,49.138515000000005
51.9,20190613,47.067753
54.8,20190614,46.054599
61.5,20190615,47.143623
55.4,20190616,47.044023
59.1,20190617,47.781777
78.6,20190618,54.410394
77.8,20190619,58.66420500000001
70.6,20190620,59.144052
72.9,20190621,60.477513
42.3,20190622,52.044378
40.4,20190623,44.587974
46.9,20190624,41.358828
49.1,20190625,40.12145700000001
52.6,20190626,40.189329
70.5,20190627,47.149722000000004
67.3,20190628,51.157797
72.0,20190629,55.04571299999999
73.5,20190630,58.106328000000005
64.4,20190701,57.34228500000001
63.5,20190702,55.634919000000004
64.6,20190703,54.931110000000004
59.6,20190704,52.701465000000006
42.1,20190705,45.815082
40.9,20190706,41.093445
43.3,20190707,38.553678000000005
46.6,20190708,37.710378000000006
46.4,20190709,37.312173
64.1,20190710,43.225797
76.9,20190711,51.26583900000001
65.5,20190712,53.352858
67.3,20190713,55.187382
64.6,20190714,55.671633
80.0,20190715,59.738157
79.0,20190716,61.63933500000001
73.9,20190717,62.014959000000005
65.0,20190718,59.517138
61.3,20190719,56.79480000000001
66.9,20190720,55.792680000000004
87.1,20190721,61.20161700000001
74.6,20190722,61.49502000000001
70.8,20190723,61.009149
82.3,20190724,64.305597
90.1,20190725,68.670753
95.3,20190726,72.26785800000002
76.6,20190727,69.806094
88.3,20190728,71.784459
74.5,20190729,68.449473
75.3,20190730,65.961699
91.1,20190731,68.698068
86.4,20190801,70.146399
74.6,20190802,67.030305
69.0,20190803,63.86484900000001
75.9,20190804,63.678693
65.5,20190805,59.63173200000001
51.4,20190806,52.80583800000001
78.1,20190807,56.63268000000001
71.4,20190808,57.58382700000001
69.0,20190809,57.18172500000001
57.9,20190810,54.094632
53.6,20190811,51.354603000000004
91.8,20190812,59.550342
76.9,20190813,61.15518
63.9,20190814,58.499577
82.0,20190815,62.630328000000006
74.5,20190816,63.488664000000014
69.5,20190817,60.66341700000001
